Device,Group,Module,Name,ID,Brunner_Name,,Scale,Alternate_ID,Annotations,Certainty,State Class,Device Class,Postcall
DISP,Steuerung,Zusatzheizung,Programm,0x0a10a612,ZH1-18,,,0x0b10a612,0 - 5,,measurement,,
DISP,Steuerung,WW,Solltemperatur PWT,0x0a10c21d,WW-29,°C,0.1,0x0b10c21d,,,measurement,TEMPERATURE,
DISP,Steuerung,HK1,Dauerbetrieb,0x0a11221e,HK1-30,h,,0x0b11221e,,,measurement,DURATION,
DISP,Steuerung,HK1,Waermer Kaelter,0x0a112224,HK1-36,°C,0.1,0x0b112224,,,measurement,TEMPERATURE,
DISP,Steuerung,Unknown,Unknown1,0x1210000b,,,,,,,measurement,,
DISP,Steuerung,Unknown,Unknown2,0x12102000,,,,,,,measurement,,
DISP,Steuerung,WW,Zirkulationsprogramm,0x1210c219,WW-25,,,0x1310c219,0 - 5,,measurement,,
DISP,Steuerung,HK1,Sommerbetrieb,0x12112213,HK1-19,°C,0.1,0x13112213,,,measurement,TEMPERATURE,
DISP,Steuerung,HK1,Abwesenheitszeit,0x1211221f,HK1-31,d,,0x1311221f,,,measurement,DURATION,
DISP,Steuerung,HK1,Programm,0x12112222,HK1-34,,,0x13112222,0 - 5,,measurement,,
DISP,Steuerung,Festbrennofen,Holzart,0x12b8c20d,,,,0x13b8c20d,0 - 2,,measurement,,
BHZ3,Status,Unknown,Unknown3,0x1310000b,,,,,,,measurement,,
BHZ3,Status,Unknown,Unknown4,0x1310000c,,,,,,,measurement,,
BHZ3,Status,Unknown,Unknown5,0x1c102002,,,,,,,measurement,,
BHZ3,Status,Unknown,Unknown6,0x1c10200b,,,,,,,measurement,,
BHZ3,Status,Unknown,Unknown7,0x1c10200c,,,,,,,measurement,,
BHZ3,Volumenstrom,Solar,,0x1c104000,T1,l/min,0.1,,,Unverifiziert,measurement,,
BHZ3,Volumenstrom,WW,,0x1c104001,T2,l/min,0.1,,,,measurement,,'                   if(v > 1.0) {
                    id(sw_zirkulation).publish_state(true);
                   }'
BHZ3,Status,WW,Taster Zirkulationspumpe,0x1c104002,T3,,,,,,measurement,,
BHZ3,Volumenstrom,Festbrennofen,,0x1c104003,T5,l/min,0.1,,,,measurement,,
BHZ3,Volumenstrom,Zusatzheizung,,0x1c104004,T6,l/min,0.1,,,Unverifiziert,measurement,,
BHZ3,Druck,Puffer,,0x1c104005,T7,bar,0.1,,,,measurement,PRESSURE,
BHZ3,Volumenstrom,HK1,,0x1c104006,T8,l/min,0.1,,,,measurement,,
BHZ3,Volumenstrom,HK2,,0x1c104007,T9,l/min,0.1,,,Unverifiziert,measurement,,
BHZ3,Temperatur,HK1,VL,0x1c104009,S1,°C,0.1,,,,measurement,TEMPERATURE,
BHZ3,Temperatur,HK2,VL,0x1c10400a,S2,°C,0.1,,,,measurement,TEMPERATURE,
BHZ3,Temperatur,Puffer,Oben,0x1c10400b,S3,°C,0.1,,,,measurement,TEMPERATURE,
BHZ3,Temperatur,Puffer,Mitte,0x1c10400c,S4,°C,0.1,,,,measurement,TEMPERATURE,
BHZ3,Temperatur,Puffer,Unten,0x1c10400d,S5,°C,0.1,,,,measurement,TEMPERATURE,
BHZ3,Temperatur,Solar,Eintrag Puffer,0x1c10400e,S6,°C,0.1,,,,measurement,TEMPERATURE,
BHZ3,Temperatur,Solar,Kollektortemperatur,0x1c10400f,S7,°C,0.1,,,,measurement,TEMPERATURE,
BHZ3,Temperatur,Solar,RL,0x1c104010,S8,°C,0.1,,,,measurement,TEMPERATURE,
BHZ3,Temperatur,WW,Speicher,0x1c104011,S9,°C,0.1,,,,measurement,TEMPERATURE,
BHZ3,Temperatur,WW,Zirkulation,0x1c104012,S10,°C,0.1,,,,measurement,TEMPERATURE,'                   if(v > 38.0) {
                    id(sw_zirkulation).publish_state(false);
                   }'
BHZ3,Temperatur,Wetter,,0x1c104013,S11,°C,0.1,,,,measurement,TEMPERATURE,
BHZ3,Temperatur,Festbrennofen,Kesseltemperatur,0x1c104014,S12/ST34,°C,0.1,,,,measurement,TEMPERATURE,
BHZ3,Temperatur,Festbrennofen,Kessel RL,0x1c104015,S13,°C,0.1,,,,measurement,TEMPERATURE,
BHZ3,Temperatur,Solar,Sek RL,0x1c104016,S14,°C,0.1,,,,measurement,TEMPERATURE,
BHZ3,Temperatur,Wärmeerzeuger 1,Temperatur,0x1c104017,S15,°C,0.1,,,,measurement,TEMPERATURE,
BHZ3,Temperatur,Solar,Kollektor außen,0x1c104018,S16,°C,0.1,,,,measurement,TEMPERATURE,
BHZ3,Temperatur,Solar,Prim VL,0x1c104019,S17,°C,0.1,,,,measurement,TEMPERATURE,
BHZ3,Temperatur,WW,Speicher Zirkulation,0x1c10401a,S18,°C,0.1,,,,measurement,TEMPERATURE,
BHZ3,Temperatur,Zusatzheizung,VL,0x1c10401b,S19,°C,0.1,,,,measurement,TEMPERATURE,
BHZ3,Temperatur,Zusatzheizung,RL,0x1c10401c,S20,°C,0.1,,,,measurement,TEMPERATURE,
BHZ3,Temperatur,Reserve,S21,0x1c10401d,S21,°C,0.1,,,,measurement,,
BHZ3,Temperatur,HK1,RL,0x1c10401e,S22,°C,0.1,,,,measurement,TEMPERATURE,
BHZ3,Temperatur,HK2,RL,0x1c10401f,S23,°C,0.1,,,,measurement,TEMPERATURE,
BHZ3,Temperatur,WW,Prim VL,0x1c104020,S24,°C,0.1,,,,measurement,TEMPERATURE,
BHZ3,Temperatur,WW,Prim RL,0x1c104021,S25,°C,0.1,,,,measurement,TEMPERATURE,
BHZ3,Temperatur,WW,Ist,0x1c104022,S26,°C,0.1,,,,measurement,TEMPERATURE,
BHZ3,Temperatur,Unknown,Unknown14,0x1c104024,,°C,0.1,,,,measurement,,
BHZ3,Temperatur,Unknown,Unknown15,0x1c104025,,°C,0.1,,,,measurement,,
BHZ3,Temperatur,Unknown,Unknown16,0x1c104028,,°C,0.1,,,,measurement,,
BHZ3,Temperatur,Unknown,Unknown17,0x1c104029,,°C,0.1,,,,measurement,,
